safe_address,token,first_signup_of_avatar,most_recent_signup_of_avatar,avatar_hash
0x84f9890944dc7fdc01d977338a0acf9bc3f23878,0x2b0f84c7ca073816fce3f0481ffae68668bc880c,14042822,14042822,025106b2782b7095cf34aa68a9e98acc46e99508a201fdda37e9059c1ec6b5e8
0x0b7d5eafba116b5827fe9e2f4233ee226d7777cb,0xdd5b6e607810262f0db50eafd93154ac023460ba,18772097,18772097,02a830ad59a57c2b689b2fcca549bd3c1014761cfc9c1790d74094695e7168f4
0xf122f2fdae0e26bcf7a50733789dbc81d32813c1,0xddb18efa021f377700b7d0aa286584c537f307fa,14085662,14085662,033f2656b709351ffa19a6189a538bb1b1a4419a414542f5d43c576f704a378a
0x4ecbf14e88e00b30122fdab6b540cc2a087e5436,0x0742ece09d742e92bc6d4c75be1afc972134e42b,14109794,14109794,03dda5d92e11b5cc0235284f1d997cf67049b953661458ee2eb34ec09a231317
0x9f7feef8df437be8e3d99965b39f1ba8f1f92694,,18566533,18566533,04010d24d97208acedfb8d98af47fa944b0e4797c4871f629a4d2539408f70cf
0x6d631077138770c0ab4dced54a6acadfc7280ae6,0x429bb5b92157a3a20e551b261c3b37e5cdd99497,18727492,18727492,042b5e0bd518458419523ee449cd9054da7c83d559a2f2528414d4df5d85a691
0xb1c37ac58f72e6624555bcff52e1cf3d3a36956b,0xfa225f6db95283bb280a1013f26a5b48e6785c3a,14038804,14038804,044811fbf740412c5550f70e1fbd26efac2b231e650519c36ec7cadcf251de7e
0x855f4bf4edf03eea057e9946442b657ca9244c27,0x86a9f0498ce56aeca3f9414668f42ed6b8502841,14038804,14038804,044811fbf740412c5550f70e1fbd26efac2b231e650519c36ec7cadcf251de7e
0x9c3f2d1b7ca51e3928f3bacf9cb0045ecf82e601,0x4f018e21a56672bd2fe74135175a0e26327f4a35,18759922,18759922,06073ec38a6d04620c04b344ba72a0318fe5bac756298f5d9785715d6b94f1aa
0xa9ff2074de7e43c30f16e6aaf166ba3bf19472cf,0x76e8e3582e2f5eee09a4448b9cddbf4a0e835bc9,18789983,18789983,07098b09a7e5563fc5cb10b072e80de33035a563124370db3bfcc9c229bf29b3
0xaffb0c5f4d55a953bbfbea215876fb7522f21ecb,0xc5ade9eef463d686ee509c9123b66777a25802b3,14057169,14057169,0710dfcf88f6f509065ae4307988984bde16f69a330e1506a7c151b34a596c46
0x9fb5404765550498248af2a96d1b0c7d081c3c05,0xb1246f7206eec32616e36926d7cc8a68b9de0aa3,13706263,13706263,076bc343ad795f21024ab1d034e682b9932986dc59039c9aa161928c8a0043b2
0x3fd6ad8a8c486f2bfd9f3fa71e8a76678fe0c770,0x4ace7a86c95656f3f996835f341f405b813ab00f,14076707,14076707,079edaccb2424f35d17e093987a7f8f3d1581e2404ecc20871f1956d330d64e6
0x5b842ac0c61b8e5c2983ab13566eeb8c791b49c3,0xb3d45c37d63c2de4392268e037c9b2254a15aaae,28205792,28205792,090d936cfa703eb67e7079866d649f5b9869d1dba5777baad3e2f01f921a5eb4
0x29c8abd668529f2c1befe4e4dd26ebca6beaa1b3,0x4c29d7d5cbff112730d0a772c318aa2a3014ea35,14073170,14073170,0a352d03c11c341caf2b618d93528af4bcc4a50b6860377919ca1fe8aff62504
0xb44187d713effd04a1cbca7d22c1b7df7733c82d,0xd90c0c3fc66f25ba502e61424c0296df2feff8ab,13525644,13525644,0a6c33829d92a67c613768d6d0ea13a5e6bfd20bcd9b4c7aeb3e86fb408eac3c
0x76e00769a855358291b0675648194fd07f9824d4,0x6f640b0341f8107d7de634daa01b19508146ab1b,14076420,14076420,0b1ccd43eac62bea8dc921961a6e3cfe0b7249f4dd77677e5a6a4bdde9e6693b
0x52cf9b7d56694735a989b06b06d4e91a31cfd7b2,0xe1a23430bbf08716f1ae529abb04044326237f71,12904036,12904036,0b23d1178255d64aec06b21801ba7e46f746e2dcfcb8d00dabd822976b671fe6
0x3353b52a9ed53ef39c205ae760a173bb4a514688,0x15844aba6d24a55c72d93fd508adc7bc2609c2b5,14040709,14040709,0b282f9e9e0920a7f32dc8d9e16d3b0706e8af1ebec551a1e54ffe7cea71a8ef
0x80da072baf342f109ea3600e0aca5209b9edccf9,0xdc280d8f0c4b1710f7c375343392ae95ca5c7493,18663928,18663928,0b40c7403dd17554a1975af26303e5f4289d08492036eabea8a7751427488ed6
0x8e66a4636da131ba135980eab9416608a2d3eb18,0x00331226e8afe3e90898217443172ad8600a3e94,12640788,12640788,0b611c402cafafd88b75a67e441353d53f119e9812361be7c09d1f034cfd2223
0x3c56618aecb6585218e7b4c92d82710c3314d913,0x0d4343c209ce3e8a066c2ecaa88e68839e330797,18626830,18626830,0c574f833c51805dbaf2e984ab3a34bc2b597defc71eb4dad77127f3475abebc
0x9c3425b7009d9237914644b6006557b428ff3594,0x8b253e41ad0a6d4fc1addb71a690d9a6fc6130e2,14025252,14025252,0caecbf24a8664788a16f6db41c76e4c5c109b2b529c37e3b2d067eb5370d3ad
0x804c1f99f0b233a261c93c18f7058f6e4b47d879,0x40126a87e23023084466f0515b2562477d42dbcd,18323716,18323716,0cd1e7bee936cbd1ea6fe0b3de44879a718ab12bb9548e5c1adc3be9aa464592
0x846407ae1251f3f51a361a7ec1e7a32e9e9fb223,0x8a716ab6517934a77322589ae48bb525a028e2e0,13725379,13725379,0cdc899e3db909cb71cdd9eb7eeb333cbdd25a479bf1857eed03d1b6854533cd
0xd6949ca149aecf9d7b2694f1f504de586873e10e,0x23d7135baf94f77496aacbf18b4bd776e626e092,18603315,18603315,0d67cd37ce589482e42ce09a089a67801953d7573bbbe5028016bc80153baeb1
0xaa39bd0085eb51fe5889de471fbfba4424244776,0x2bff96d0d9186492418aec33dbf9f5b5a48ce2ba,14057112,14057112,0d7beebc3e13a2c8951d5959754061c50432af25b58827b2ee4ab25509b53cd6
0x8525ec7175b4c855f9f7d2a0b8412e0ca3a14b9b,0xd9366bcad416111554078e5e4fc68062f0c5eda4,12880932,12880932,0dcb6aad4f1fcea49f81065833e9b925b56c4ca922f55f20dcc5de8bb509d9a9
0xf9c1cfde41cc32e6de687df5587e5d35f6e1d869,0xbb97eda8aa47b7534af296b8ab1905709973c574,18552377,18552377,0eab4bebf627ff4c8a20ee89ba3b62748afed693b7f1e3c2b071f09456bcdd5f
0xf846ab0834163365e0c708f5d68e823307e341bf,0xe05ed0bafa52823224a99738cfff530dc2f0490f,12659793,12659793,0f343354163e09aecab4048664de724a6e7a7bc772412e156f6b309615b7a9d7
0x969cfd8f58ec19d1a0786c027e8afbfabffa4388,0x02ff3e989396db89b3f860bc2fbe2b7485b67f24,14105830,14105830,0fc7f8e9294ba8677ce10e3e9b0d32aa0f5d794dbc4467ecf9c06665c7b1a572
0xae10f81c8be2718f7ad1a0e0dfa29b2db967fea4,0x9b39216b328214cb2145678b3beccabc9d451486,16744806,16744806,0fe9242d570df74ac129752cc0f6a3f09d2fc5193f133b3386cddcf5d206829a
0x4203e675756da681a257c51600ab9f6da17a0bb0,0x2472bddc6da18b7b17ce4d38b55a51218027667b,18567991,18567991,102656a91a4e78e4d0a84c3dc010f9b748cb65aa2089a353dc62f2cb938e5a0b
0x259c5e0b34ce9269bb738263e3c2e0405f1312c5,0x7215c0321381b2ade1a8461c4e644c751bab9597,16749242,16749242,108358a30c99ee390b5af261bbba9aae346ce88e802a00372ef9337161f6db5c
0xa85daebae7359b3a59be79c7869dad108c9658cc,0xc9848b386278cb23fc2ca34c940e3649602e7ba3,14021552,14021552,10c9dca150b800a13be293b1f1b63eba56f376d978c2ace178060937d865e2de
0xb72e230a8f1a3b6bb7b7998c4dbb74af50886eaa,0x46757fd7ca5ce73286878da9dd26fe68159ebb7c,14107448,14107448,110ffe0a8c791563ee9126d450257518db783ff040602870757f96e1ed4eff0a
0x7a2dbe39a1b08b497d88909f94955c9b082629b8,0xe909e1663270e90c62c6ec908e3d1536a415ed98,18772873,18772873,11c19764888bf58d22b6985a1349af16e76a3592ada3c5590cbdb4834d487bb4
0x75534277f4670923e284eaa9caf72e2398e7deab,0xaaf804fe3a4a6f6d8bc5bad6d5c78889b69a77c9,12902396,12902396,11c6d2c6af30c99587f37565065c55d20370bf2f7676e373bd627cd52fae092f
0x16d54543df3e782013e38dc30243fd970e010437,0x7497d4a6a87dbc25736c67b38bf3d3194bcd86d4,12584083,12584083,11e2a545c8ae1b59bfd53ca3cb42d6edd4bf12c76c13f533e5a7e27cc5d06d23
0xc9aa3599f3f2f59202613f4dc1347590e2085498,0x59f743980c8ea0f529e2338c0e72446fb9395c2e,14101976,14101976,1220bcb1d62144273a8c36c579e41ccb0c0e5aa5b09ac3b510a18e97c24e9db5
0x1173269acd8bc626bbc130d548860defbf3f8250,0x9529d7f4a1fa02c4866a7089100bd5f2f835b472,14110290,14110290,124edbadc0a8e4ee5f134663b25b3382f4449ea6734535c9f4726853c53b722e
0xb0d7fac57e269f788b9dcd7e83d101d0a2aec5fe,0x91c7dba6ae6588ad56a47c45d095ce03d2222698,14085633,14085633,125819897f8196b2d68d51f0fefdde9e99e6bf2d629848017b4fe8806a1f04f9
0x220dff4a80c87526d7c4adfec24537d48a76d9ed,0xa4b58e5ab40e594b3562c050305c7142b242f175,18088441,18088441,1270a2bc1de703a59d15ab537f46ac711c142ac975b7a3377e7fde3a272c0226
0x1108fd08586645d07c88e5faa2f7cb255a1381a3,0x446b99a5e3fa484fe610da82c2cc2f06957322c2,18326514,18326514,127ca9a915004f946c3bfc636148f1b1ce232d4c6716fd8b5876b404a54fe998
0xe9b11fbc113f29d1597c4440287abeba37f6da23,0x84b570cb6f8cef537b2717440020e4c3cae8fb51,12966753,12966753,12edeec1c495eda1a636a83c3658c94ed674e0843c7f87c35597ed41199d1522
0xad163a8554869d0b844feebe9ee868159c122805,0x1c4e84227ca5bc790c0d1d3c434039f416fdbd3e,14105939,14105939,12ee1728b7f0d45f07a5736fa24910674e1398e1036fb32e78b5281123440a7c
0xc49a2cc498d2d6aded03f91c7f80e0ea03d586e6,0x5a0ce020d69e96c1253138c9b3685640a9d83429,13713116,13713116,133bcf0a7fdd93a7814fe5b2224e88d3792307478945cfda558f46ef4408607f
0x1a5f49c100c679c62188b09329bf0e43afeee4b1,0xf8685cd0b4c4fdb7bf567157affcdf7f23337191,14024619,14024619,13586659d1cba9cf6469169619b593d47c6ac1c42fa5de36ebcb0ef548d61512
0x75daf420a81c0f111796bdc46fa43bf9865eb85a,0xdc92e5c80e5f06d83c894c050bfaf72e0ed343c2,12676880,12676880,1387531e0036653efc0d48b656032ddff870c16d4523af3fbbc18c98f9888e97
0xf69f5a60b92d9f0cd553872782f80ece4b53ffa5,0xc56639045cd0e134b92e9d74f94fb3a7c568a330,18751230,18751230,138eae1da9217f1020c5266ff9eb9f44bbfc84a19c525c8c5bfe3fcef3aedf31
0x3364e9922297cea2747a1e68af4df77ace27d5c5,0xf97c167bd3b6a88a08e7e35a05aed15b0d0246f9,14007880,14007880,13eeb910cc1b5f379d3172cd7390cff7c632f2a5db35a54122a8f261e241b6b4
0xc6ad8fae913d7dfb986bbbe7afb6f427819a440c,0xbd6877baafbbd82fa357f4d54b38429de0d97644,12652338,12652338,13ef11ba1f6da8e8dc54ad0f48b8d0696383ce45cce1bfd5ba9a95c705826a8a
0x652aa559984cb4e8cfb102cfb1c4774b4772bcdc,0x368a93e1edb2cf02049dd6e47556cfac51abe9da,12652859,12652859,147979191fa4cb220745ff192645c9e347a96492b88322d63f7253f8a8ac58ad
0x2c4abf34dfa0810e46b410c76103c0f390b2d117,0x8681f46ec425e3d224f72205fb581ceb22253e0b,14092629,14092629,14c2f2b3c475d30f1fbdcbf85d0c84a658dbca3f7658ad7e0c330b6726b4098b
0x2153cf4f133e392d021dee5a77a6591c1d05e048,0xdb9f248683df1586e069dd224817cd36eac9ece7,12639697,12639697,151d4b164401ea7b3a6d3168b2d666826a34292e8733ff506ddb310c12fa69fc
0x40f16829fbfe5b09ffa6ee9a1a85bc812bf52116,0x9aa763f026197a68cb6ff1f5e1b7c4221bd756ec,18757228,18757228,1526e37bef04389e0708dd8bcfe4a612f3dd34bc28e82149f028fe1ad2ed38c0
0x977d571f80d2c043bfec2b8f2a3bbab9d5f07e3d,0x59ab24ce45ef0347787c91ec661ce5e0e6b4309e,14056194,14056194,153b4cd4f7a7c6296f94b67d3bc0f1398b75c20747d80167d37bdf910a0fa575
0x3197566c068ced343336b93e379dd219e68bb8ea,0x67eb92b4e39347d2db0e2e7d28e800d971a060cb,13728195,13728195,15435fbf842f4e5f470d37d7cfac0ebe42c21e84ce5bdb0b8f68b77610c37583
0xd5c33bfdb2a9b2402c0d39b3314f9246d9795cef,0xecbc8c159d5e3088b8abd0dad6512590d353bb22,15313921,15313921,15c78e10fa28e029d8cccbb0dee5508e2e27e1303efeeb71e5dd65a180952ebf
0x5b31730a5c3b360b90ed042dad8d6f2274fd7701,0xefe460918d4bb7c56f279433d4966bcb0221c3b9,12904034,12904034,15de669d9743319af9b2593e20731b2fd198e5b7416b01c871569aeb0e88f55b
0xfc9e683af38073cc5a8ca1060a5a2b48e65a4591,0xb378de32375f848aab91ad9742a11a99b850f8d9,12904034,12904034,15de669d9743319af9b2593e20731b2fd198e5b7416b01c871569aeb0e88f55b
0x9443b6a7335f73bd7a53e7eae8defdf8c1e2806b,0x251d081a51c18a06fd32d0c27472c08d0d89bde6,14009488,14009488,15f7bc0b0c5a134cce18f49517991f85aebd94a21710ff24fd2138e7da020cf7
0x0cf4ad0d9bb0f07ab81b7c29884ae409f4759bdc,0x0d4cb8692b0002c03e32460724673927294b27d7,12573383,12573383,1651de955d758d39c2efd7022b46bec1377a9e9ae5e2722b193207de0ceffa59
0x6009dcbad46db5c02c129b63ed1716b9b081423f,0x18e42e2db367b7fef01d806d33d029a8cc2fd872,18759727,18759727,16658e4bb046ec62125cd757643229a09a3f5df2ea598f4fda9808a11eb9ec3e
0x8700395c283691125610ce60f0543cd3e5af7644,0xf9d0db57ff673bfa3f63ef3ae7ffd365232ae560,12601285,12601285,167f3431b1b5f0a77b6107240e287fbf2ecc90c13e0b0116dd6103578496f190
0x5f941b5a613d55c55002467ea47f35692328b7c3,0x0884fbf96f059e492d1132f6270f367a7fc70aee,18774116,18774116,16a2d5342e4d6c25bf23e0892ba7ca53dfdb1816e6820c1592688a12244ee6b9
0xfbcc06ad92c752c7e787b3083e030d68d6f1eaf1,0xf4d187b6b679e17320428be6b5acd3d24b285ffa,14009706,14009706,16caba6cd92d2eb8b8149b9db2ffa378a6c4ab6f70bbded55bd53f84dd4aa86b
0x9f770aae526af77b5e175f9de494b8a5dad780cd,0x3bccdb6a004fdbb3b91a773cf39d8a95a9ef5b62,12956389,12956389,172008f3416b7eeb5792089c1890416112de7ed77b0725aecb0906d90ac5f343
0xd8aad7d2d80ba2077d0384d542483f20efc35c11,0x8946694b70c3d651f03c5dbd5d6d5a0bead26780,13362079,13362079,172f763be7722c3a873e37b8d18f8bdae44a15fa36d79188f37c344063626350
0x20f89a5dae56f0f28b6b3905279d9569ac47a8e3,0xa1e9e85c655182311668830b7ee667ab13cc6a04,13361236,13361236,1749451189d0c491300d91dd128f7a5021db059cceb06409017eb36ff7c701a6
0xd6e2b5ba89e120cf2b5c90210f0b9053fc762ab6,0x56a4d4f0e50485895de26d045e9eed5837ab4192,18725739,18725739,17501a8f91f59262a2863bd8223196ef49e2700e62e9098c4d45a139fe12daea
0x1a9f47e7a2f9c555ed701924523044254c8b06c5,0x00b5fa859b70bd4a2e88c377be9d8c1a09534d7b,14007472,14007472,177798398388aee519ec6dd189861e31996cee2b76476d65388603095a964e37
0xf7b9c9c680331904ec4139180dda8dda6e0514da,0x738ba3c5924433f10a88f9b78d7f64f74487faf5,13326856,13326856,17da3ade763a95255879e9a553f04bc0e38533e13996e1a596051c2d44f255a7
0x598d4cb65d2ac25bb47d0e78d35c36b9a7bd085f,0x4d954e2bac06573496233ac84a60f0d703b2dad6,19703052,19703052,18002220ead6f7d103c171a08c352d65048b7d621775e6c93e7004564dc2670f
0xe3b884cc84dec4602e9ee86e7df58c8975278ed7,0x918e53672cf6f9d61eeb74a77e9f6b3848dbba1a,18567930,18567930,1804391a8f3025fe1e878ad33cdf08b24598d717aea85eec901385dd4ce72557
0x92818615e475d8a3c0932ff2ad3c651e5128cb4f,0xf0ceb79a19af7cb8f15ebdd99c405491bace50dc,12589679,12589679,18afea5081b80307c9ff35fc7259babeed3cf6f116bbc708b4321b25aef3caee
0xf8e851a43c2b37e4b6cd23e15d260fe41fddb1bd,0x3d00aa55a77dc4228bf2ccebd3ae207a544dad37,12675837,12675837,18e3e18065bb1edf53f9b6a2463302d3af03855b01e66d74ff0367ef33c219c5
0x54e9f75bb355de3ef4061f4fd3d06c4827367051,0x38be818e89b03e3e6df4c4c70427fa9f18c939b4,18708282,18708282,18f929593a927212f9afdaa7ac0c38015178f9c87dc85a19158948ff2515e92c
0x2ff7e0c85c3bc728527db2f945641137b215d98a,0xb90ab8a53958df7779d2e79d38dcc89e961092a2,14074689,14074689,191ff6ef26f8dceabcce47f129b6528fab1516758b31e757d360b9811da85e13
0x0ddf00087942a82d180cb2331bdda0bd5bc7b1f3,0x5971eccc1f2cca48118b71925ad864b87b14ad9c,13725386,13725386,1967252cac4d4a31f0b360fa3c09cebb78c272cfcaa1760dd6adeafa208ae9af
0x87f057f297e4974ad3a97aa6bc4ef4457ade47a2,0x7816bc40e9be7f432abb55a905784decbb8b60c4,14102477,14102477,1983ef3695bb8bfa75093bf879e386650f0f747793d5a908245f2849eb4bd49a
0xbe8b6cbe90bd088dd0112f7675c1b4a164550e4e,0x489051caaf1bb51e9f23e79d114fde24f62e4e34,16779066,16779066,19a6e6c65ce899873b8d80fb987534f118b75b5cc36919a6febfeada8acd5aa3
0x0ec815f3972932624adae9a0eace7e11cb1cd923,0xc39c5d77dea5771ab07f24a138059ca8fdb18329,12641194,12641194,19af07eddecbe5a44963341ca5e494c8875d5eb96622676bd8ec0480b4978ed3
0xe56851eb6ee9b8184d396d00829358d504895054,0xab346a6813d9a32e11e7cc5ad3de21e6ef68863b,16744736,16744736,1a364ebf7717c751b55c775240d1cf1d3c68cd8d23b179bd1f79a0268c40f011
0x56d8e36727638ce4863254ca1659e454483c2d99,0xa238004cd609f9ed2f6342514af2e2477463fc1c,14073201,14073201,1a5c2fc751331ae09ef995d801312c2b98ab9cf711b960629dba5f79d786a633
0xcbf8c6d65135fb028000d63b74abd01fbf57ffac,0x7257c57dcf3e113a4f7196b9977ad065e0539824,14074695,14074695,1b76e87431d1291e594d4ff48caa20cb0f1ca6a1c0bb3e4fc7e9a94c59a54a43
0x2bfc6cc677b6cfe989ae93f9f3a53d9c5d3ac657,0xef3d53376da097e49ca8f93270edc35c4f688f44,16784831,16784831,1be50e9fe18547d0aa3b278959576e6cb94e4dca3908a55b936f50cdd8d00c27
0xa6606ee00c07ecf72ea956bd256d2a18c8e8a429,0xf6b67c93528326bf164799feed1f298d28b45238,18326708,18326708,1bf8fb4c01b280fa60c2b69eb88d399733e0128c5d0026bddcb09ff935569806
0x56208e59c6ddd4c48d6d25098a4bed99ba2c469f,0x02033de76e3d68bd3c51401fcce6e253dc74a3e7,14056524,14056524,1c3ce7333fee934fa12fb9235918e0928bc81e8ba7c570992d801bd4eb560d9a
0x87462beedffa62d6e2b9785819be80eac6629a32,0x6cde69df0a5065cd3bdbd60987a186e0df9a17c7,13491500,13491500,1cf29dc0ea342339e433bde66201cebfdadeb5044039fea836083ae76d3d99c4
0x41820fd80f84c54501e4159f872a91eabddb7cee,0x691b60207690fa265d5687e9c18b26967d6c9d95,13491254,13491254,1d0decc4ae1a559eb95669db3aeb8fca44196e9287b9a87085ed5f9ff746b0a0
0x82220041c050fb7ea3c387cd765bb4746d19388a,0x7e742473c6627388dcb7ebfa9a761eab9b004b10,18771489,18771489,1d9c30255a1a603d2ceb6bb64af749fca62a9dff82871389b3f29915bced5c98
0xc0f85b73935cfd62823540a65930f3743dceed69,0x8c8c788e5245cad1b42986df672ca4b3ef3d78d9,18755920,18755920,1d9e3612bd2b9b94460d4ae28d819a623dc5e5cf309e6a7cc3c2ac96b90a4e08
0xef7e9760a042d6feb8c744f278fd57b8e74baebc,0xce3f326658c0eacfb499945d5a542cde0bf369ff,12792054,12792054,1ddae13caf1d26be237d3fea13450e079d16d78f21f3097737625c7cac660a5a
0x2a55a8937df4c0ea4f55cbec3e42c78946843b98,0x37a6b546d3786a98a8dca748df66f53f44e80526,18200787,18200787,1de864ccac56bf21d65121390f53ca56415193e8fe983fbc342447e9cb1eedc5
0x1f584229b7e95aa1610b2c55a0d2aa8aae7d112a,0xbfb5a8f572604b1c7631588c0c01fa3e29d6d97e,14058617,14058617,1e01335ab2684b0df9f4039b9ddd55ff9f885938209940b23048413f3453b2f9
0x371ab4e2622aeefd5ba754e52fa78038a0f7f3ff,0x198abcdf43b0d1e9572969dfbcd44fc620f6a11e,18146466,18146466,1e9ce678125cd12832569b4f33945330a3cbd77350148a171cfc068d90fae601
0xde78251f0961c6ad701943bf01f87abb984ec590,0xc13d0c4f49d97b327619b30430cac85fb6193027,12659835,12659835,1ec8a5773283858869199c7153b2a653538adc38f68882a200d3fb4acbdefb61
0x2707595757e3d072e81562e2704052f47821ab8a,0x3fe860c72f4efcc7c6b6b342064abafa8eba4886,13716176,13716176,1f056e1eadba6f1e5894f10c3abc942881b917675413ce41680ef2d8db5e2b61
0xe96b27bb0c5473c95d827efb0646b5ea1c571e98,0xbf8353e72ad2de49eebfb56ba79ac33a38ccd0ef,13725075,13725075,1f0c0a725a35ef0ee9a79fc414349b0ab1ebebff9c03c2cad53bfd408e8aaf64
0x8baff2d2c2f5c76e8a0620b0ae3d9b114a2e03ab,0x118c7887e3334b122ec1d0ebff283bce5bcee898,18246157,18246157,1f336c87148f7d4d93ee45ebc7df6de9451b345dd0eecafcfb019fa3e9dac069
0x69da1811491e2ee51df275d41a5fcc68e514c8f8,0x869af47feac578fc720699d6c1780a99b56925f0,14110456,14110456,1f512b4429e1a1087ac23354a7cac2236d4d826f1f53dfb60f8bc6474890ef1a
0x3ded7693efb1aa0918168d5ce76a44394a29ede1,0xbc0bebb3487d42a32a873cc3e9c30f628f60725c,16749439,16749439,1f6c64c34015123d2bbf514906104d38b50476b8d61f84f311c0d05ae8be4df8
0x2a5730256f730d7e99cc54fe0e5ff8a74955b0ff,0x450c30513afd80d0a5cf450d7c3adc443872cce4,16787359,16787359,1fcb06518b8cb5d38421fe362093c937b3bb5745a78111747e1ca409b90dd5bd
0x428a03a8cc5b44a77d4338c39d639646cec16338,0xb55de88ead7242c35dfb2cc951f0c0dc36f8cb75,14007520,14007520,20539da3415abf9814ff32a3c172f5b6faa2d57a3ce0f62ec7c15b32ee7683e8
0xd7035ffa0c8a9cd16256b10e5e097f1fb035dd43,0xfb507eb4116d41eab3b05669b3a8c806ebecd410,18649908,18649908,21c1b970973cf7bf26de7e84be9d77f61a15f7540d0933a2157ad74e3d3fced8
0xbc28122c7c994633b6acfeac17e19724c9789190,0x7c55b69a8bc5b63aa2d74d26006b9d35e98aceb9,18744036,18744036,21caacfb41d57bacc54d13a47e2d26d90cda38b6a2653a65e5ccab0d290a7c63
0x00c3ac233050ea2c8bbc829cadcdad4505928dde,0x2155be43c51f989532824a73c9cc1c7ecd7ca987,18744036,18744036,21caacfb41d57bacc54d13a47e2d26d90cda38b6a2653a65e5ccab0d290a7c63
0xe38ed0083862a0b8065125033bb291ce838e5332,0x6a7916cc2d555dc36f325affc791cfd9a013cf82,16744645,16744645,21cafd21d75f577d8929115e984953bec82083dda43ed0c9e8dbd661c0200b29
0x8099920f2d0dcb79dda853a0ee96ee01470894a9,0x12141a235ecba989c613bfe931d66b4348d7c5e1,12787067,12787067,21d984bd55062da8c3e56362459021d3d7ff074c4be5e8236122c3220d3b4aa4
0x1a60d1fa192c1080b3443dfe7e54dace401f44f4,0x43dadb548b0dcffdd3424c09d179a61cd17b8cfa,12724694,12724694,2203380847294c5b0a4ff713a9c3c10780214517d4fd2a2877983305cd8b5cca
0xf112bf5e8255b0976b53e74de4641c88a7f90bd4,0xf53808e92c4224c3e576def419e62a7183d9e6c5,12677397,12677397,22af90d981d52f39d4319036d6603d46749af2b76bf5b41f76805560e634fd95
0x7f6e56dacc15ddb7807c5252d4f3a50b6bdde5d7,0x18812c58dbf13ba76c095e7c1fe26e03d984aecf,14009178,14009178,22ca8a035d7710b54354c7e019bdfc2cbdbb371581494322db63cd62820fc2df
0x7f5f2c66f6770532a57fcc62b3906f05e7002ac9,0xce997005b84fb840efcc1fe0aaedc8176a251711,13532691,13532691,22f28250386b8a077810491940a736d6cc089a4c8a771f0792606b799627d84f
0x4034e6686e691c5ed212920e0335c813926b2b48,0xd87adc4cd24e037b9b91a2ab349faa7cc7395464,12725098,12725098,23130d3b08a71abc03843f610fa13b277ba85eae8fc39c978f3ca13c9a74c870
0x51ff101d743c0ea591d2aba14beba7b86a472753,0x38af0a3280ba356321fb927396c0e4562b732d86,12574433,12574433,2330304be9d537c3e40bf9032144c35bc20f334084075c8fa41ed3bc5c1b1a11
0x540758e4eeed28140ef5f6b5548a9ccfaeb360cd,0xe44eb39b7b3be06d79c2e3bc097b4761f7b89fe0,16733739,16733739,2388dd5ab9528135bfb978b9f30c000c0e3914236ea9ce5b8e79483ff00d6c33
0x40f53c7013d9c579c1decac36333e1477ec28ff3,0xf13cf5f7a09bf30ec6722a38c61a1dab40e787f7,16785060,16785060,238df95b55e3e118429f5bf35c32cecff83e865573e0e10740003994a8899a33
